Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency
FREM2,26,25,7.0,0.0,0.2692307692307692,0.06038647342995169
DNAH9,26,24,1.0,0.0,0.038461538461538464,0.057971014492753624
NBEA,26,22,3.0,0.0,0.11538461538461539,0.05314009661835749
BIRC6,26,22,4.0,0.0,0.15384615384615385,0.05314009661835749
FRAS1,25,20,2.0,0.0,0.08,0.04830917874396135
NEB,25,24,2.0,0.0,0.08,0.057971014492753624
SYNE1,25,23,4.0,0.0,0.16,0.05555555555555555
KIF26B,25,24,0.0,0.0,0.0,0.057971014492753624
FAT4,25,19,1.0,0.0,0.04,0.04589371980676329
LRP1,25,25,3.0,0.0,0.12,0.06038647342995169
HERC2,25,23,2.0,0.0,0.08,0.05555555555555555
CSMD2,25,22,2.0,0.0,0.08,0.05314009661835749
ARID2,25,22,16.0,0.0,0.64,0.05314009661835749
PRKDC,24,24,7.0,0.0,0.2916666666666667,0.057971014492753624
MACF1,24,23,2.0,0.0,0.08333333333333333,0.05555555555555555
AHNAK,24,22,2.0,0.0,0.08333333333333333,0.05314009661835749
SPEG,23,20,3.0,0.0,0.13043478260869565,0.04830917874396135
PRUNE2,23,21,2.0,0.0,0.08695652173913043,0.050724637681159424
MUC17,23,20,3.0,0.0,0.13043478260869565,0.04830917874396135
SSPOP,23,20,0.0,0.0,0.0,0.04830917874396135
PCDH7,22,21,1.0,0.0,0.045454545454545456,0.050724637681159424
SDK1,22,21,1.0,0.0,0.045454545454545456,0.050724637681159424
FCGBP,22,21,1.0,0.0,0.045454545454545456,0.050724637681159424
DCHS2,22,20,1.0,0.0,0.045454545454545456,0.04830917874396135
ZNF831,22,21,2.0,0.0,0.09090909090909091,0.050724637681159424
RB1,22,19,14.0,0.0,0.6363636363636364,0.04589371980676329
ZNF536,22,19,4.0,0.0,0.18181818181818182,0.04589371980676329
PREX2,22,21,0.0,0.0,0.0,0.050724637681159424
MYT1L,21,21,1.0,0.0,0.047619047619047616,0.050724637681159424
MYO18B,21,19,1.0,0.0,0.047619047619047616,0.04589371980676329
HYDIN,21,19,0.0,0.0,0.0,0.04589371980676329
COL12A1,21,20,3.0,0.0,0.14285714285714285,0.04830917874396135
TDRD5,21,21,3.0,0.0,0.14285714285714285,0.050724637681159424
DNAH2,21,20,0.0,0.0,0.0,0.04830917874396135
RPS6KA3,21,20,9.0,0.0,0.42857142857142855,0.04830917874396135
MUC2,21,19,3.0,0.0,0.14285714285714285,0.04589371980676329
ZNF208,21,20,2.0,0.0,0.09523809523809523,0.04830917874396135
POLQ,21,19,4.0,0.0,0.19047619047619047,0.04589371980676329
DCHS1,20,18,2.0,0.0,0.1,0.043478260869565216
MYO3A,20,19,1.0,0.0,0.05,0.04589371980676329
PKHD1,20,19,2.0,0.0,0.1,0.04589371980676329
MYH1,20,18,2.0,0.0,0.1,0.043478260869565216
SYNE2,20,20,4.0,0.0,0.2,0.04830917874396135
COL6A6,20,19,1.0,0.0,0.05,0.04589371980676329
KMT2B,20,18,10.0,0.0,0.5,0.043478260869565216
COL5A1,20,20,3.0,0.0,0.15,0.04830917874396135
FBN1,19,19,4.0,0.0,0.21052631578947367,0.04589371980676329
C3,19,19,1.0,0.0,0.05263157894736842,0.04589371980676329
DNAH17,19,19,1.0,0.0,0.05263157894736842,0.04589371980676329
DYNC2H1,19,16,0.0,0.0,0.0,0.03864734299516908
KEAP1,19,17,5.0,0.0,0.2631578947368421,0.04106280193236715
TNXB,19,17,4.0,0.0,0.21052631578947367,0.04106280193236715
COL22A1,19,18,3.0,0.0,0.15789473684210525,0.043478260869565216
TPO,19,18,2.0,0.0,0.10526315789473684,0.043478260869565216
HTT,19,19,3.0,0.0,0.15789473684210525,0.04589371980676329
LRP2,19,18,1.0,0.0,0.05263157894736842,0.043478260869565216
UNC13C,19,18,2.0,0.0,0.10526315789473684,0.043478260869565216
NOS1,19,17,2.0,0.0,0.10526315789473684,0.04106280193236715
PXDNL,19,18,2.0,0.0,0.10526315789473684,0.043478260869565216
FMN2,19,19,2.0,0.0,0.10526315789473684,0.04589371980676329
DNAH10,19,18,2.0,0.0,0.10526315789473684,0.043478260869565216
SPTBN1,19,19,3.0,0.0,0.15789473684210525,0.04589371980676329
MGA,18,18,3.0,0.0,0.16666666666666666,0.043478260869565216
RP1,18,18,3.0,0.0,0.16666666666666666,0.043478260869565216
EPHA4,18,17,2.0,0.0,0.1111111111111111,0.04106280193236715
PREX1,18,15,0.0,0.0,0.0,0.036231884057971016
SLIT2,18,16,4.0,0.0,0.2222222222222222,0.03864734299516908
PTPRB,18,16,1.0,0.0,0.05555555555555555,0.03864734299516908
FAT1,18,15,7.0,0.0,0.3888888888888889,0.036231884057971016
DSCAM,18,15,2.0,0.0,0.1111111111111111,0.036231884057971016
HERC1,18,16,4.0,0.0,0.2222222222222222,0.03864734299516908
KMT2C,18,17,5.0,0.0,0.2777777777777778,0.04106280193236715
REV3L,18,17,5.0,0.0,0.2777777777777778,0.04106280193236715
COL7A1,18,15,6.0,0.0,0.3333333333333333,0.036231884057971016
ABCA12,18,17,1.0,0.0,0.05555555555555555,0.04106280193236715
LRRIQ1,18,16,6.0,0.0,0.3333333333333333,0.03864734299516908
CDH9,18,16,4.0,0.0,0.2222222222222222,0.03864734299516908
COL6A3,18,17,3.0,0.0,0.16666666666666666,0.04106280193236715
SLITRK2,18,17,0.0,0.0,0.0,0.04106280193236715
NRXN1,17,16,2.0,0.0,0.11764705882352941,0.03864734299516908
LAMA5,17,15,4.0,0.0,0.23529411764705882,0.036231884057971016
COL16A1,17,16,4.0,0.0,0.23529411764705882,0.03864734299516908
SRCAP,17,13,5.0,0.0,0.29411764705882354,0.03140096618357488
PIK3CA,17,17,0.0,0.0,0.0,0.04106280193236715
DNAH1,17,16,2.0,0.0,0.11764705882352941,0.03864734299516908
TENM1,17,17,0.0,0.0,0.0,0.04106280193236715
TG,17,15,3.0,0.0,0.17647058823529413,0.036231884057971016
CTNNA2,17,16,1.0,0.0,0.058823529411764705,0.03864734299516908
PBRM1,17,17,10.0,0.0,0.5882352941176471,0.04106280193236715
MYO18A,17,16,1.0,0.0,0.058823529411764705,0.03864734299516908
APC,17,16,6.0,0.0,0.35294117647058826,0.03864734299516908
ATR,17,15,3.0,0.0,0.17647058823529413,0.036231884057971016
ADAMTS20,17,16,1.0,0.0,0.058823529411764705,0.03864734299516908
SVEP1,17,16,1.0,0.0,0.058823529411764705,0.03864734299516908
UBR4,17,17,3.0,0.0,0.17647058823529413,0.04106280193236715
HUWE1,17,15,1.0,0.0,0.058823529411764705,0.036231884057971016
ROBO1,17,16,3.0,0.0,0.17647058823529413,0.03864734299516908
ANK2,17,17,2.0,0.0,0.11764705882352941,0.04106280193236715
SEMA6D,17,17,1.0,0.0,0.058823529411764705,0.04106280193236715
KMT2A,16,16,8.0,0.0,0.5,0.03864734299516908
BRINP3,16,16,1.0,0.0,0.0625,0.03864734299516908
NLGN4X,16,16,0.0,0.0,0.0,0.03864734299516908
EVC2,16,15,1.0,0.0,0.0625,0.036231884057971016
FLNC,16,14,1.0,0.0,0.0625,0.033816425120772944
UNC79,16,15,2.0,0.0,0.125,0.036231884057971016
LAMA2,16,13,3.0,0.0,0.1875,0.03140096618357488
COL4A4,16,16,0.0,0.0,0.0,0.03864734299516908
LRRC7,16,16,2.0,0.0,0.125,0.03864734299516908
LRRK2,16,15,4.0,0.0,0.25,0.036231884057971016
NPAP1,16,14,1.0,0.0,0.0625,0.033816425120772944
THSD7B,16,15,0.0,0.0,0.0,0.036231884057971016
ADCY8,16,15,2.0,0.0,0.125,0.036231884057971016
DSCAML1,16,15,3.0,0.0,0.1875,0.036231884057971016
ZFYVE26,16,16,1.0,0.0,0.0625,0.03864734299516908
MYCBP2,16,15,3.0,0.0,0.1875,0.036231884057971016
CUL9,16,13,2.0,0.0,0.125,0.03140096618357488
ANK1,16,16,2.0,0.0,0.125,0.03864734299516908
NTRK3,16,16,2.0,0.0,0.125,0.03864734299516908
ANKRD12,16,16,3.0,0.0,0.1875,0.03864734299516908
TRIP12,16,15,3.0,0.0,0.1875,0.036231884057971016
WNK2,16,14,3.0,0.0,0.1875,0.033816425120772944
PCDH11Y,16,16,1.0,0.0,0.0625,0.03864734299516908
ACVR2A,16,15,8.0,0.0,0.5,0.036231884057971016
FLG2,16,15,2.0,0.0,0.125,0.036231884057971016
GLI2,16,15,2.0,0.0,0.125,0.036231884057971016
MYO10,16,15,2.0,0.0,0.125,0.036231884057971016
MAP1B,16,13,3.0,0.0,0.1875,0.03140096618357488
CELSR3,16,16,3.0,0.0,0.1875,0.03864734299516908
CELSR2,16,16,4.0,0.0,0.25,0.03864734299516908
ABCA4,16,15,2.0,0.0,0.125,0.036231884057971016
FBN3,15,15,0.0,0.0,0.0,0.036231884057971016
TRPS1,15,14,1.0,0.0,0.06666666666666667,0.033816425120772944
MAP2,15,15,0.0,0.0,0.0,0.036231884057971016
FNDC1,15,15,2.0,0.0,0.13333333333333333,0.036231884057971016
CR2,15,14,0.0,0.0,0.0,0.033816425120772944
ADCY2,15,15,2.0,0.0,0.13333333333333333,0.036231884057971016
GRIA4,15,12,2.0,0.0,0.13333333333333333,0.028985507246376812
MYH7,15,14,1.0,0.0,0.06666666666666667,0.033816425120772944
CTTNBP2,15,13,0.0,0.0,0.0,0.03140096618357488
MYH4,15,13,5.0,0.0,0.3333333333333333,0.03140096618357488
SETD2,15,15,6.0,0.0,0.4,0.036231884057971016
TENM3,15,15,1.0,0.0,0.06666666666666667,0.036231884057971016
TENM2,15,15,0.0,0.0,0.0,0.036231884057971016
SACS,15,15,1.0,0.0,0.06666666666666667,0.036231884057971016
DHX9,15,14,2.0,0.0,0.13333333333333333,0.033816425120772944
HECTD4,15,15,2.0,0.0,0.13333333333333333,0.036231884057971016
ALMS1,15,12,3.0,0.0,0.2,0.028985507246376812
WDFY3,15,15,1.0,0.0,0.06666666666666667,0.036231884057971016
MISP,15,11,2.0,0.0,0.13333333333333333,0.026570048309178744
VCAN,15,15,1.0,0.0,0.06666666666666667,0.036231884057971016
ABCB5,15,12,2.0,0.0,0.13333333333333333,0.028985507246376812
USP34,15,15,5.0,0.0,0.3333333333333333,0.036231884057971016
ZFC3H1,15,14,3.0,0.0,0.2,0.033816425120772944
ROBO2,15,14,1.0,0.0,0.06666666666666667,0.033816425120772944
KIT,15,15,5.0,0.0,0.3333333333333333,0.036231884057971016
KIAA1217,15,15,3.0,0.0,0.2,0.036231884057971016
ADAMTS9,15,15,1.0,0.0,0.06666666666666667,0.036231884057971016
NUP133,15,14,4.0,0.0,0.26666666666666666,0.033816425120772944
SEMA3A,15,14,1.0,0.0,0.06666666666666667,0.033816425120772944
FN1,15,15,3.0,0.0,0.2,0.036231884057971016
LYST,14,14,3.0,0.0,0.21428571428571427,0.033816425120772944
NOTCH3,14,13,3.0,0.0,0.21428571428571427,0.03140096618357488
MEGF8,14,14,4.0,0.0,0.2857142857142857,0.033816425120772944
AHCTF1,14,14,4.0,0.0,0.2857142857142857,0.033816425120772944
ARFGEF3,14,13,3.0,0.0,0.21428571428571427,0.03140096618357488
ZAN,14,13,0.0,0.0,0.0,0.03140096618357488
EPHA3,14,12,1.0,0.0,0.07142857142857142,0.028985507246376812
ICE1,14,14,5.0,0.0,0.35714285714285715,0.033816425120772944
FER1L6,14,13,2.0,0.0,0.14285714285714285,0.03140096618357488
MAGI2,14,12,2.0,0.0,0.14285714285714285,0.028985507246376812
OTOGL,14,14,2.0,0.0,0.14285714285714285,0.033816425120772944
TRPA1,14,14,3.0,0.0,0.21428571428571427,0.033816425120772944
STAB1,14,14,0.0,0.0,0.0,0.033816425120772944
STAB2,14,14,2.0,0.0,0.14285714285714285,0.033816425120772944
ADAMTS19,14,14,1.0,0.0,0.07142857142857142,0.033816425120772944
DIDO1,14,14,2.0,0.0,0.14285714285714285,0.033816425120772944
TENM4,14,13,2.0,0.0,0.14285714285714285,0.03140096618357488
CPAMD8,14,12,2.0,0.0,0.14285714285714285,0.028985507246376812
ATRNL1,14,13,4.0,0.0,0.2857142857142857,0.03140096618357488
PLA2R1,14,13,0.0,0.0,0.0,0.03140096618357488
ADGRL3,14,14,0.0,0.0,0.0,0.033816425120772944
MUC4,14,14,0.0,0.0,0.0,0.033816425120772944
BSN,14,13,1.0,0.0,0.07142857142857142,0.03140096618357488
MICAL3,14,14,0.0,0.0,0.0,0.033816425120772944
LAMA3,14,14,0.0,0.0,0.0,0.033816425120772944
MDN1,14,12,2.0,0.0,0.14285714285714285,0.028985507246376812
SCN1A,14,14,2.0,0.0,0.14285714285714285,0.033816425120772944
CDH7,14,13,0.0,0.0,0.0,0.03140096618357488
CHD9,14,14,5.0,0.0,0.35714285714285715,0.033816425120772944
MGAM,14,11,1.0,0.0,0.07142857142857142,0.026570048309178744
CNTNAP2,14,12,4.0,0.0,0.2857142857142857,0.028985507246376812
MRC2,14,14,3.0,0.0,0.21428571428571427,0.033816425120772944
KIAA2026,14,13,4.0,0.0,0.2857142857142857,0.03140096618357488
SEMA3E,14,14,4.0,0.0,0.2857142857142857,0.033816425120772944
RNF213,14,13,1.0,0.0,0.07142857142857142,0.03140096618357488
CADPS,14,13,1.0,0.0,0.07142857142857142,0.03140096618357488
PCDH11X,14,12,1.0,0.0,0.07142857142857142,0.028985507246376812
NBAS,14,14,5.0,0.0,0.35714285714285715,0.033816425120772944
STYXL2,14,14,0.0,0.0,0.0,0.033816425120772944
EEF1A1,14,10,0.0,0.0,0.0,0.024154589371980676
NF1,14,14,4.0,0.0,0.2857142857142857,0.033816425120772944
DSP,14,12,1.0,0.0,0.07142857142857142,0.028985507246376812
DOCK10,14,13,1.0,0.0,0.07142857142857142,0.03140096618357488
GLI3,14,14,1.0,0.0,0.07142857142857142,0.033816425120772944
TRIOBP,14,13,4.0,0.0,0.2857142857142857,0.03140096618357488
RELN,14,14,2.0,0.0,0.14285714285714285,0.033816425120772944
MYH15,14,13,2.0,0.0,0.14285714285714285,0.03140096618357488
MYH6,14,14,0.0,0.0,0.0,0.033816425120772944
ITPR3,14,13,1.0,0.0,0.07142857142857142,0.03140096618357488
ATM,14,14,3.0,0.0,0.21428571428571427,0.033816425120772944
VPS13B,13,12,1.0,0.0,0.07692307692307693,0.028985507246376812
CELSR1,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
FMN1,13,11,4.0,0.0,0.3076923076923077,0.026570048309178744
ARID1B,13,13,3.0,0.0,0.23076923076923078,0.03140096618357488
SLC4A3,13,13,3.0,0.0,0.23076923076923078,0.03140096618357488
FUT9,13,13,0.0,0.0,0.0,0.03140096618357488
ZNF638,13,13,2.0,0.0,0.15384615384615385,0.03140096618357488
PATJ,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
DCC,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
MUC6,13,12,1.0,0.0,0.07692307692307693,0.028985507246376812
JMJD1C,13,10,4.0,0.0,0.3076923076923077,0.024154589371980676
SPEN,13,12,2.0,0.0,0.15384615384615385,0.028985507246376812
SHANK1,13,13,5.0,0.0,0.38461538461538464,0.03140096618357488
ATP8A2,13,13,3.0,0.0,0.23076923076923078,0.03140096618357488
ZNF804B,13,13,2.0,0.0,0.15384615384615385,0.03140096618357488
ADAMTS12,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
DYNC1H1,13,13,0.0,0.0,0.0,0.03140096618357488
NCOR2,13,13,4.0,0.0,0.3076923076923077,0.03140096618357488
DNAH11,13,13,2.0,0.0,0.15384615384615385,0.03140096618357488
ANKHD1-EIF4EBP3,13,12,2.0,0.0,0.15384615384615385,0.028985507246376812
DOCK8,13,13,0.0,0.0,0.0,0.03140096618357488
TRPM6,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
FGA,13,12,1.0,0.0,0.07692307692307693,0.028985507246376812
IVL,13,12,2.0,0.0,0.15384615384615385,0.028985507246376812
ANKRD11,13,13,0.0,0.0,0.0,0.03140096618357488
MYO7A,13,12,3.0,0.0,0.23076923076923078,0.028985507246376812
ZNF578,13,13,2.0,0.0,0.15384615384615385,0.03140096618357488
ANK3,13,12,1.0,0.0,0.07692307692307693,0.028985507246376812
TNN,13,13,3.0,0.0,0.23076923076923078,0.03140096618357488
RIMS1,13,13,0.0,0.0,0.0,0.03140096618357488
IGF1R,13,12,0.0,0.0,0.0,0.028985507246376812
IDH1,13,13,0.0,0.0,0.0,0.03140096618357488
EGFLAM,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
ADGRL4,13,13,2.0,0.0,0.15384615384615385,0.03140096618357488
CRYBG1,13,13,2.0,0.0,0.15384615384615385,0.03140096618357488
KNDC1,13,12,3.0,0.0,0.23076923076923078,0.028985507246376812
PCDHB16,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
ADGRG4,13,13,0.0,0.0,0.0,0.03140096618357488
NLGN1,13,12,3.0,0.0,0.23076923076923078,0.028985507246376812
GABRG1,13,11,2.0,0.0,0.15384615384615385,0.026570048309178744
KIF19,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
GCN1,13,13,2.0,0.0,0.15384615384615385,0.03140096618357488
SI,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
TMEM132D,13,12,2.0,0.0,0.15384615384615385,0.028985507246376812
ZNF521,13,11,3.0,0.0,0.23076923076923078,0.026570048309178744
SYCP2,13,13,7.0,0.0,0.5384615384615384,0.03140096618357488
SORCS3,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
BRD7,13,12,10.0,0.0,0.7692307692307693,0.028985507246376812
CACNA1G,13,12,3.0,0.0,0.23076923076923078,0.028985507246376812
PCNT,13,13,4.0,0.0,0.3076923076923077,0.03140096618357488
CACNA1S,13,13,1.0,0.0,0.07692307692307693,0.03140096618357488
CNGA3,13,13,0.0,0.0,0.0,0.03140096618357488
ZNF91,13,12,1.0,0.0,0.07692307692307693,0.028985507246376812
MKI67,13,13,3.0,0.0,0.23076923076923078,0.03140096618357488
PRR12,13,12,2.0,0.0,0.15384615384615385,0.028985507246376812
PTPN13,13,13,0.0,0.0,0.0,0.03140096618357488
VWF,13,12,3.0,0.0,0.23076923076923078,0.028985507246376812
FANCM,13,12,2.0,0.0,0.15384615384615385,0.028985507246376812
ZFHX3,13,13,4.0,0.0,0.3076923076923077,0.03140096618357488
PTPRT,13,13,3.0,0.0,0.23076923076923078,0.03140096618357488
CHL1,13,13,0.0,0.0,0.0,0.03140096618357488
CEP350,13,12,3.0,0.0,0.23076923076923078,0.028985507246376812
LRRK1,13,11,3.0,0.0,0.23076923076923078,0.026570048309178744
CHRM3,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
UTP20,12,12,3.0,0.0,0.25,0.028985507246376812
CHD7,12,12,3.0,0.0,0.25,0.028985507246376812
PXDN,12,12,0.0,0.0,0.0,0.028985507246376812
CDH23,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
VPS13A,12,12,5.0,0.0,0.4166666666666667,0.028985507246376812
VPS13C,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
CACNA1B,12,11,1.0,0.0,0.08333333333333333,0.026570048309178744
NRXN3,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
SCRIB,12,11,2.0,0.0,0.16666666666666666,0.026570048309178744
ZNF687,12,12,5.0,0.0,0.4166666666666667,0.028985507246376812
BPTF,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
CACNA2D1,12,12,0.0,0.0,0.0,0.028985507246376812
ZFPM2,12,10,1.0,0.0,0.08333333333333333,0.024154589371980676
HERC2P3,12,12,0.0,0.0,0.0,0.028985507246376812
SDK2,12,12,0.0,0.0,0.0,0.028985507246376812
CAMTA1,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
CAND1,12,12,4.0,0.0,0.3333333333333333,0.028985507246376812
TPTE,12,10,3.0,0.0,0.25,0.024154589371980676
ERICH3,12,11,5.0,0.0,0.4166666666666667,0.026570048309178744
EPPK1,12,11,3.0,0.0,0.25,0.026570048309178744
CARD11,12,11,2.0,0.0,0.16666666666666666,0.026570048309178744
EPG5,12,12,3.0,0.0,0.25,0.028985507246376812
PDZRN3,12,11,2.0,0.0,0.16666666666666666,0.026570048309178744
DPP6,12,10,0.0,0.0,0.0,0.024154589371980676
NES,12,10,1.0,0.0,0.08333333333333333,0.024154589371980676
TCF20,12,11,2.0,0.0,0.16666666666666666,0.026570048309178744
GPR158,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
TRO,12,10,2.0,0.0,0.16666666666666666,0.024154589371980676
IL6ST,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
IGSF9B,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
DYSF,12,11,3.0,0.0,0.25,0.026570048309178744
DZIP3,12,11,3.0,0.0,0.25,0.026570048309178744
ITGAD,12,11,1.0,0.0,0.08333333333333333,0.026570048309178744
NCOR1,12,10,7.0,0.0,0.5833333333333334,0.024154589371980676
BAZ2B,12,12,2.0,0.0,0.16666666666666666,0.028985507246376812
IRX1,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
PIKFYVE,12,11,1.0,0.0,0.08333333333333333,0.026570048309178744
NBEAL2,12,11,2.0,0.0,0.16666666666666666,0.026570048309178744
SF3B1,12,12,0.0,0.0,0.0,0.028985507246376812
ITPR2,12,12,2.0,0.0,0.16666666666666666,0.028985507246376812
PHIP,12,10,2.0,0.0,0.16666666666666666,0.024154589371980676
FGFR2,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
MYOM1,12,11,2.0,0.0,0.16666666666666666,0.026570048309178744
MYO3B,12,11,1.0,0.0,0.08333333333333333,0.026570048309178744
DMBT1,12,12,0.0,0.0,0.0,0.028985507246376812
TSC2,12,12,10.0,0.0,0.8333333333333334,0.028985507246376812
KALRN,12,11,2.0,0.0,0.16666666666666666,0.026570048309178744
PLCB1,12,12,0.0,0.0,0.0,0.028985507246376812
PLA2G4A,12,11,1.0,0.0,0.08333333333333333,0.026570048309178744
PLXNB2,12,11,3.0,0.0,0.25,0.026570048309178744
AOX1,12,10,1.0,0.0,0.08333333333333333,0.024154589371980676
MXRA5,12,12,0.0,0.0,0.0,0.028985507246376812
KCNT1,12,11,4.0,0.0,0.3333333333333333,0.026570048309178744
KIAA1549L,12,12,0.0,0.0,0.0,0.028985507246376812
PAK5,12,9,0.0,0.0,0.0,0.021739130434782608
FCRL5,12,11,0.0,0.0,0.0,0.026570048309178744
COL18A1,12,11,7.0,0.0,0.5833333333333334,0.026570048309178744
RASA1,12,11,5.0,0.0,0.4166666666666667,0.026570048309178744
SPAG17,12,11,2.0,0.0,0.16666666666666666,0.026570048309178744
MRC1,12,10,4.0,0.0,0.3333333333333333,0.024154589371980676
ATP10B,12,12,2.0,0.0,0.16666666666666666,0.028985507246376812
CR1,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
ACACB,12,11,1.0,0.0,0.08333333333333333,0.026570048309178744
ATG2B,12,12,2.0,0.0,0.16666666666666666,0.028985507246376812
MMRN1,12,11,2.0,0.0,0.16666666666666666,0.026570048309178744
SLIT3,12,12,0.0,0.0,0.0,0.028985507246376812
ASH1L,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
COL11A2,12,12,3.0,0.0,0.25,0.028985507246376812
SLC9C1,12,12,2.0,0.0,0.16666666666666666,0.028985507246376812
SLCO5A1,12,12,2.0,0.0,0.16666666666666666,0.028985507246376812
MED13,12,11,1.0,0.0,0.08333333333333333,0.026570048309178744
FLRT2,12,12,3.0,0.0,0.25,0.028985507246376812
FLT4,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
ROR2,12,11,2.0,0.0,0.16666666666666666,0.026570048309178744
TLL1,12,12,2.0,0.0,0.16666666666666666,0.028985507246376812
LTBP4,12,12,2.0,0.0,0.16666666666666666,0.028985507246376812
CDH18,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
CDKN2A,12,12,4.0,0.0,0.3333333333333333,0.028985507246376812
CEP250,12,12,1.0,0.0,0.08333333333333333,0.028985507246376812
CENPE,11,11,1.0,0.0,0.09090909090909091,0.026570048309178744
PTPRD,11,10,1.0,0.0,0.09090909090909091,0.024154589371980676
CEP290,11,11,3.0,0.0,0.2727272727272727,0.026570048309178744
TLN1,11,11,2.0,0.0,0.18181818181818182,0.026570048309178744
LRFN5,11,11,0.0,0.0,0.0,0.026570048309178744
